Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
2889|JPY|FS0000A7NW|2889|2014-06-10|62903
2890|JPY|FS0000A7NY|2890|2014-06-10|62903
2891|JPY|FS0000A7UM|2891|2014-06-10|62903
2892|JPY|FS0000A7UO|2892|2014-06-10|62903
2893|JPY|FS0000A7UR|2893|2014-06-10|62903
2894|JPY|FS0000A82M|2894|2014-06-10|62903
2895|JPY|FS0000A86H|2895|2014-06-10|62903
2896|JPY|FS0000A86J|2896|2014-06-10|62903
2897|JPY|FS0000A86E|2897|2014-06-10|62903
2898|JPY|FS0000A87W|2898|2014-06-10|62903
2899|JPY|FS0000A87Y|2899|2014-06-10|62903
2900|JPY|FS0000A880|2900|2014-06-10|62903
2901|JPY|FS0000AEU1|2901|2014-06-10|62903
2902|JPY|FS0000AEU3|2902|2014-06-10|62903
2903|JPY|FS0000AEU5|2903|2014-06-10|62903
